Employee_ID,Name,Department,Role,Date_of_Joining,Salary,Gender,Age,Education_Level
1,Karen Roman,Sales,Manager,23-02-2017,140268,Male,43,Bachelors
2,Shannon Hamilton,HR,Intern,05-09-2019,71090,Unknown,56,PhD
3,Peter Jones,Marketing,Analyst,21-10-2024,32747,Unknown,31,PhD
4,William Henson,Finance,Analyst,17-12-2018,196845,Female,56,PhD
5,Christine Frazier,Finance,Intern,20-10-2022,99092,Unknown,47,Masters
6,Mason Jackson,IT,Associate,01-10-2024,184555,Male,34,Bachelors
7,Thomas Sullivan,Sales,Intern,04-03-2017,193678,Unknown,32,Bachelors
8,Jeremy Williams,Sales,Associate,18-04-2023,31016,Female,31,PhD
9,Wendy Rivera,Sales,Manager,03-07-2022,32568,Male,59,Bachelors
10,Tina Hoffman,HR,Associate,22-12-2023,94505,Unknown,49,PhD
11,Shannon Brown,HR,Associate,19-06-2019,157478,Female,23,Bachelors
12,Brandi Lewis,Sales,Executive,12-11-2019,143252,Male,33,Bachelors
13,Kurt Lin,Finance,Manager,04-01-2018,161278,Female,29,Masters
14,Tanya French,Finance,Associate,07-03-2018,194899,Female,50,PhD
15,Beth Jackson,HR,Intern,12-02-2016,32693,Unknown,30,Bachelors
16,Heidi Singh MD,Finance,Manager,09-05-2019,53776,Unknown,38,Masters
17,Cindy Scott,Sales,Intern,12-05-2016,166602,Female,45,Bachelors
18,Rebecca Haas,Finance,Intern,23-09-2023,81005,Unknown,45,Masters
19,John Henderson,Sales,Manager,31-08-2024,56736,Male,42,Masters
20,Lisa Chavez,Marketing,Intern,16-09-2025,187381,Unknown,59,Bachelors
21,Mark Benitez,HR,Intern,22-03-2017,45708,Female,50,Bachelors
22,Rita Lopez,IT,Intern,24-11-2022,172483,Male,24,PhD
23,Jerry Weaver,Sales,Analyst,08-02-2020,101295,Female,44,Bachelors
24,Edward Schneider,Operations,Associate,25-03-2025,141472,Male,43,Masters
25,Tracy Campbell,Marketing,Associate,15-06-2018,50932,Female,47,PhD
26,Mark Jones,IT,Associate,04-07-2025,146336,Male,25,Bachelors
27,Christopher Stark,Finance,Manager,14-11-2021,62711,Male,40,Bachelors
28,Sharon Gibbs,Operations,Associate,29-03-2017,120272,Female,40,Bachelors
29,Gary Martinez,Sales,Manager,03-03-2022,167965,Female,52,Masters
30,Harold Duke,Sales,Intern,06-05-2018,79377,Female,37,Bachelors
31,Jennifer Mcmillan,Sales,Intern,12-01-2017,139616,Unknown,27,Bachelors
32,Bonnie Mueller,Sales,Analyst,07-10-2017,193324,Male,50,Bachelors
33,Brittany Allen,Operations,Manager,08-01-2020,171564,Unknown,23,Bachelors
34,Matthew Irwin,Operations,Manager,20-05-2022,102991,Unknown,50,Bachelors
35,Laurie Mann,Marketing,Manager,06-09-2017,169788,Unknown,31,Bachelors
36,Noah Ortiz,HR,Executive,17-05-2022,36655,Unknown,24,Masters
37,Kevin Torres,Sales,Analyst,24-04-2017,157813,Male,42,Bachelors
38,Julie Estrada,Sales,Associate,23-05-2017,193165,Female,40,Masters
39,Dominique Gonzalez,Sales,Executive,17-02-2018,116672,Unknown,40,PhD
40,Sean Thompson,Sales,Analyst,07-09-2022,193324,Unknown,29,PhD
41,Jason Richard,Marketing,Associate,30-03-2025,35237,Unknown,45,PhD
42,Ashley Green,Operations,Associate,27-05-2021,190196,Female,42,Bachelors
43,Tony Elliott,Finance,Executive,03-09-2019,196319,Female,44,Bachelors
44,Joseph Christensen,Sales,Manager,14-02-2017,193324,Unknown,26,PhD
45,Carla Richmond,HR,Manager,27-06-2020,134182,Male,55,PhD
46,James Taylor,Finance,Intern,26-08-2022,99449,Female,55,Masters
47,Teresa Scott,Marketing,Manager,12-03-2024,153633,Male,59,Bachelors
48,Amanda Martinez,Sales,Executive,21-11-2021,55351,Female,59,PhD
49,Alexandria Wheeler,Finance,Intern,03-05-2020,135891,Female,22,Masters
50,Dale Williams,Sales,Manager,06-05-2017,113042,Unknown,55,Bachelors
51,Kara Bush,Sales,Analyst,30-04-2022,193551,Unknown,54,Masters
52,Mr. Daniel Molina,Marketing,Associate,29-08-2023,109459,Female,50,Masters
53,Kevin Crawford,Sales,Intern,30-08-2023,198011,Male,23,Bachelors
54,Michael Sullivan,Operations,Analyst,04-06-2021,114076,Male,28,Masters
55,Janet Williams DDS,IT,Analyst,10-08-2016,184786,Unknown,33,PhD
56,Jessica Alvarez,Operations,Manager,25-03-2022,36801,Male,55,Bachelors
57,Jessica Martin,Operations,Manager,25-09-2019,84693,Female,39,Masters
58,Michael Mason,Finance,Manager,12-08-2016,148874,Female,51,Bachelors
59,Jesse Bernard,Marketing,Analyst,20-12-2019,82224,Female,51,Bachelors
60,Sherry Montgomery,Sales,Analyst,10-06-2021,133333,Unknown,50,Bachelors
61,Connie Harris,IT,Analyst,19-10-2019,158148,Unknown,29,PhD
62,Edward Wagner,Finance,Manager,16-11-2016,47640,Female,52,Masters
63,Rebecca Mcdonald,IT,Analyst,24-12-2016,41023,Male,54,Bachelors
64,Judy Barnes,Sales,Associate,18-09-2022,34835,Male,32,Bachelors
65,Jeff Patterson,Sales,Associate,10-08-2025,50159,Unknown,50,Bachelors
66,Willie Stone,Marketing,Executive,31-12-2018,80990,Female,41,PhD
67,Anthony Lewis,Finance,Manager,19-08-2021,158778,Female,26,Bachelors
68,Jacob Baker,Operations,Analyst,18-11-2020,50309,Female,27,Bachelors
69,Misty Sweeney,HR,Associate,28-02-2025,135570,Unknown,35,Masters
70,Tammy Griffith,Finance,Executive,18-07-2019,151288,Male,44,PhD
71,Holly Ramos,HR,Associate,17-02-2024,66411,Female,26,Masters
72,Brandon Lopez,Operations,Analyst,02-03-2020,67131,Female,35,Masters
73,Nancy Brown,Sales,Associate,13-12-2018,155917,Male,60,Bachelors
74,Christina Greene,Marketing,Executive,26-06-2016,55934,Female,22,Masters
75,Pamela Hood,Sales,Executive,28-07-2025,100390,Unknown,57,Bachelors
76,Kristy Dominguez,Finance,Manager,07-12-2024,99836,Female,32,PhD
77,Karen Johnson,Operations,Executive,03-06-2019,111579,Unknown,44,Bachelors
78,Crystal Pierce,Finance,Manager,29-08-2023,151465,Unknown,24,Bachelors
79,Victoria Lane,Sales,Associate,29-04-2023,69749,Male,22,PhD
80,Daniel Smith,Sales,Analyst,28-08-2016,53321,Male,51,PhD
81,Colton Bush,Sales,Intern,16-05-2021,125257,Male,27,Bachelors
82,Alejandro Booth,IT,Intern,16-01-2021,58699,Female,29,Masters
83,Sheila Miller,Marketing,Executive,01-05-2020,97067,Male,25,Bachelors
84,Whitney Lewis,IT,Intern,19-09-2023,199590,Female,25,Masters
85,Pamela Davidson,Finance,Executive,16-01-2022,77915,Male,38,Bachelors
86,James Wood,Marketing,Intern,31-05-2021,155036,Female,35,Bachelors
87,Tammy Ross,Sales,Manager,20-05-2018,111264,Unknown,54,Masters
88,Charles Zimmerman,Sales,Analyst,15-12-2017,31605,Male,23,Bachelors
89,Tara Willis,Operations,Executive,19-05-2016,154040,Unknown,31,Bachelors
90,Lori Chapman,Finance,Associate,25-09-2017,71427,Female,29,Bachelors
91,James Blanchard,IT,Manager,12-01-2024,76514,Unknown,36,PhD
92,Mary Gill,Sales,Manager,09-08-2023,134537,Unknown,22,PhD
93,Harry Gilbert,Sales,Executive,05-04-2025,69809,Male,37,PhD
94,Jacob Carter,HR,Associate,02-09-2021,35287,Unknown,55,Bachelors
95,David Walker,Sales,Associate,15-07-2024,113524,Female,38,Bachelors
96,Kelsey Joseph,IT,Manager,21-09-2023,169639,Male,33,Bachelors
97,Brian Martin,IT,Associate,30-12-2017,151101,Unknown,30,Bachelors
98,Melinda Butler,Sales,Executive,09-06-2016,173026,Male,29,Bachelors
99,Danny Burgess,Sales,Manager,07-02-2025,41246,Female,42,PhD
100,Gilbert Mcbride,Sales,Executive,11-02-2022,165090,Unknown,22,Bachelors
101,Jose Snyder,Sales,Executive,12-05-2017,128723,Unknown,33,PhD
102,Shannon Lopez,Sales,Analyst,02-04-2021,32336,Female,53,Bachelors
103,Karina Montgomery,Marketing,Intern,25-09-2024,159038,Female,43,Bachelors
104,Mrs. Cheryl Rocha,HR,Intern,27-06-2022,114291,Female,46,Masters
105,James Munoz,Sales,Executive,25-10-2016,44153,Unknown,22,Masters
106,Margaret Munoz,Marketing,Executive,16-01-2024,103319,Female,43,Bachelors
107,Colleen Glover,Operations,Executive,07-06-2022,57306,Male,31,Bachelors
108,Eric Cobb,Sales,Associate,11-11-2021,162717,Unknown,41,Masters
109,Jessica Vaughn,Marketing,Associate,22-10-2016,149719,Male,40,Bachelors
110,Barbara Meyers,Sales,Analyst,10-10-2021,167855,Female,41,Bachelors
111,Kathryn Baker,IT,Associate,30-05-2024,49097,Unknown,23,Bachelors
112,James Burns,Sales,Associate,29-11-2023,185989,Female,30,Bachelors
113,Robert Estrada,HR,Associate,11-06-2017,31759,Female,26,Bachelors
114,James Johnson,Marketing,Intern,18-01-2020,89676,Female,43,Bachelors
115,Thomas Owens,IT,Analyst,17-05-2022,41485,Unknown,34,Bachelors
116,Heidi Morales DDS,Sales,Associate,22-07-2017,159948,Female,59,Bachelors
117,Amanda Bailey,Marketing,Associate,01-05-2017,120868,Male,59,Bachelors
118,Jennifer Lee,Finance,Intern,07-11-2023,117127,Male,30,PhD
119,Lisa Ward,IT,Analyst,05-12-2024,96358,Female,31,Bachelors
120,Ashley Reed,Operations,Executive,14-01-2018,192491,Male,27,Masters
121,John Shaffer,IT,Executive,26-10-2018,176430,Male,54,PhD
122,Ryan Macias,HR,Analyst,14-11-2022,194644,Female,25,Bachelors
123,Brandy Davis,Operations,Manager,06-02-2023,129608,Male,38,PhD
124,Sandra Beck,Sales,Analyst,30-04-2020,160282,Male,37,PhD
125,Joel Smith,HR,Intern,14-11-2018,199315,Unknown,41,PhD
126,Jason Booth,Sales,Analyst,11-04-2022,111182,Unknown,47,Bachelors
127,Debra Hernandez,Operations,Executive,17-02-2017,180322,Female,30,Masters
128,Julie Osborne,Marketing,Associate,12-11-2020,41046,Male,23,Bachelors
129,Brandon Franklin,Finance,Intern,05-10-2016,89129,Unknown,32,Bachelors
130,Michelle Dean,HR,Intern,23-10-2015,66411,Male,44,Masters
131,Anthony Williams,Finance,Intern,28-12-2018,75186,Female,60,Bachelors
132,Jon King,Sales,Intern,28-12-2017,182592,Female,54,PhD
133,Ariana Miller,Sales,Manager,28-07-2016,120327,Female,24,Masters
134,Rhonda Serrano,Sales,Associate,10-09-2018,67641,Unknown,36,Bachelors
135,Emily Clark,Sales,Associate,30-05-2024,172194,Female,24,PhD
136,Alan Stanley,IT,Analyst,08-11-2017,173670,Unknown,25,Bachelors
137,Erika Baker,IT,Associate,10-06-2018,164055,Unknown,58,Bachelors
138,David Young,Sales,Analyst,24-02-2021,176389,Male,48,PhD
139,Travis Lewis,IT,Associate,05-10-2018,155341,Female,35,Bachelors
140,Miss Jessica Wright,Marketing,Analyst,15-07-2023,137309,Female,49,PhD
141,Michele Howard,Sales,Intern,14-04-2017,32050,Unknown,52,PhD
142,Stacy Brown,Finance,Analyst,02-01-2022,63933,Male,34,Bachelors
143,Michelle Phillips,Finance,Associate,19-03-2019,154988,Male,32,Masters
144,Andrew King,Marketing,Intern,01-03-2024,110435,Female,42,Bachelors
145,Carolyn Hobbs,Sales,Analyst,20-01-2020,103781,Male,41,Bachelors
146,Seth Vaughn DDS,Operations,Associate,18-12-2024,185650,Unknown,50,Bachelors
147,April Castillo,Sales,Analyst,04-03-2021,113300,Female,49,Masters
148,Alexander Nicholson,Sales,Analyst,08-12-2021,47602,Female,48,PhD
149,Christina Harris,Sales,Manager,18-12-2021,94772,Female,30,PhD
150,Michael Barker,Finance,Intern,08-11-2023,108006,Female,44,Bachelors
151,Matthew Delgado,Finance,Executive,22-05-2024,108006,Female,37,PhD
152,Daniel Brown,Sales,Analyst,16-09-2020,194202,Unknown,48,Bachelors
153,Lee Fischer,Operations,Executive,15-09-2024,79708,Female,30,Bachelors
154,Jesse Larson,HR,Associate,24-07-2022,108249,Unknown,29,Bachelors
155,John Wood,Finance,Intern,09-10-2020,108006,Male,32,Bachelors
156,David Thomas,Finance,Executive,02-11-2017,106242,Female,22,Bachelors
157,Carol Foster,HR,Analyst,13-06-2017,93888,Male,27,Bachelors
158,Kristen Jackson,Sales,Associate,14-04-2018,50953,Male,30,Bachelors
159,Zachary Hernandez,HR,Intern,21-10-2018,57083,Female,22,Bachelors
160,Tiffany Ramirez,Finance,Executive,21-05-2024,41745,Male,55,Bachelors
161,Jennifer Chase,Sales,Intern,06-11-2023,108797,Female,49,Masters
162,Keith Davidson,HR,Intern,16-08-2019,189674,Male,40,Bachelors
163,Samantha Wright,Operations,Analyst,02-06-2021,163052,Male,37,PhD
164,Brandon Humphrey,Sales,Manager,04-04-2018,197516,Male,36,PhD
165,Betty Avila,Finance,Associate,10-05-2022,176323,Male,49,PhD
166,Kathy Garza,Marketing,Analyst,23-04-2017,134101,Female,30,Masters
167,Megan Lopez,Sales,Executive,22-04-2024,156446,Male,53,Bachelors
168,Sarah Kim,Finance,Executive,27-07-2024,36154,Male,33,Bachelors
169,Danielle Harris,IT,Intern,19-05-2022,91681,Female,23,PhD
170,Shawn Brown,Sales,Associate,09-07-2021,184470,Male,56,Bachelors
171,Dawn Harris,Finance,Executive,18-01-2020,39078,Male,45,PhD
172,Stacy Morrison,Sales,Analyst,17-09-2021,187361,Unknown,25,Bachelors
173,Rachel Sutton,Sales,Manager,10-12-2021,187702,Male,45,PhD
174,Gregory Ingram,Finance,Manager,17-12-2017,102715,Female,46,Bachelors
175,Mark Crawford,Sales,Intern,05-12-2018,181094,Female,42,Bachelors
176,William Owens,Sales,Associate,28-04-2018,46082,Female,52,Masters
177,Rebecca Johns,Sales,Associate,18-12-2023,141822,Male,23,Bachelors
178,William Padilla,Operations,Intern,25-01-2025,102099,Unknown,38,PhD
179,Anthony Smith,Sales,Associate,31-08-2018,186921,Female,40,Masters
180,Jordan Jackson,Sales,Executive,09-11-2019,72229,Unknown,47,Bachelors
181,Rebecca Taylor,Sales,Analyst,24-02-2021,165720,Female,39,Bachelors
182,Joseph Gibson,HR,Manager,17-02-2023,155818,Female,36,Masters
183,Melvin Craig,Sales,Analyst,01-03-2021,193324,Male,52,Masters
184,Justin Ward,HR,Analyst,16-04-2021,66411,Male,48,PhD
185,Nicole Fitzgerald,Sales,Intern,02-09-2017,45563,Male,22,PhD
186,Steven Vaughn,Operations,Associate,08-05-2022,111537,Male,48,Bachelors
187,Mercedes Williams DVM,Sales,Associate,01-12-2017,170272,Male,48,PhD
188,Carrie Smith,Finance,Associate,17-06-2016,91212,Unknown,49,PhD
189,Andrea Williams,Finance,Analyst,13-05-2021,151863,Unknown,50,Masters
190,Daniel Mcclain,Finance,Associate,29-04-2020,153008,Male,33,Bachelors
191,Connie Campos,Sales,Associate,14-05-2023,66487,Male,59,PhD
192,Paula Barry,IT,Executive,23-08-2024,188056,Female,40,Bachelors
